[1442169000] LOG ROTATION: DAILY
[1442169000] LOG VERSION: 2.0
[1442169000] CURRENT SERVICE STATE: jira.plank.life;DNS;OK;HARD;1;DNS OK: 15.009 seconds response time. www.google.com returns
[1442169000] CURRENT SERVICE STATE: jira.plank.life;DNS USING DIG;WARNING;HARD;3;DNS WARNING - 15.009 seconds response time (dig returned an error status)
[1442169000] CURRENT SERVICE STATE: jira.plank.life;HTTP;CRITICAL;HARD;4;CRITICAL - Socket timeout after 10 seconds
[1442169000] CURRENT SERVICE STATE: jira.plank.life;HTTPS;CRITICAL;HARD;3;CRITICAL - Socket timeout after 20 seconds
[1442169000] CURRENT SERVICE STATE: jira.plank.life;LDAP;CRITICAL;HARD;3;CRITICAL - Socket timeout after 20 seconds
[1442169000] CURRENT SERVICE STATE: jira.plank.life;MYSQL CONNECTION TIME;OK;HARD;1;Please select a mode
[1442169000] CURRENT SERVICE STATE: jira.plank.life;MYSQL Database;CRITICAL;HARD;3;(Service check timed out after 60.01 seconds)
[1442169000] CURRENT SERVICE STATE: jira.plank.life;MYSQL SLAVE SQL RUNNING;OK;HARD;1;Please select a mode
[1442169000] CURRENT SERVICE STATE: jira.plank.life;MYSQL SLAVE-IO-RUNNING;OK;HARD;1;Please select a mode
[1442169000] CURRENT SERVICE STATE: jira.plank.life;MYSQL threads-connected;OK;HARD;1;Please select a mode
[1442169000] CURRENT SERVICE STATE: jira.plank.life;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.55 ms
[1442169000] CURRENT SERVICE STATE: jira.plank.life;Root Partition;CRITICAL;HARD;4;CHECK_NRPE: Socket timeout after 10 seconds.
[1442169000] CURRENT SERVICE STATE: jira.plank.life;SSH;UNKNOWN;HARD;4;Usage:
